"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Asian",,,,,,,"Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Black or African American","94.8%","4.7","17.1%","20%","5.7%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Hispanic or Latino","95.2%","4.7","13.7%","10.5%","0.8%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Multi-Race, Not Hispanic or Latino","92.4%","6.5","23.5%","17.6%","5.9%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","White","95.8%","4.1","0%","0%","0%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","High Needs","94.7%","5.1","16.2%","13.3%","2.3%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","English Learners","95.1%","4.8","18.8%","9.4%","3.1%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Low Income","94.7%","5.1","15.4%","13.6%","2.5%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Students with Disabilities","94.2%","5.5","22.1%","16.3%","1.2%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Female","94.8%","5","15.3%","14.1%","2.4%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810001","Early Childhood Education Center","School","Male","94.9%","4.8","14.7%","10.8%","2%","0%","Springfield - Early Childhood Education Center"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","All Students","92.4%","7.8","30.4%","28.8%","7%","12.4%","Springfield - Edward P. Boland School"
